,combined,combined,combined,contradiction,contradiction,contradiction,missing_tool,missing_tool,missing_tool,overgeneration,overgeneration,overgeneration
,P,R,F1,P,R,F1,P,R,F1,P,R,F1
method,,,,,,,,,,,,
lookbacklens-ragtruth-w4-t0.3,0.8681,1.0,0.9294,0.5373,1.0,0.699,0.6931,1.0,0.8187,0.7597,1.0,0.8634
lookbacklens-ragtruth-w4-t0.5,0.8681,1.0,0.9294,0.5373,1.0,0.699,0.6931,1.0,0.8187,0.7597,1.0,0.8634
lookbacklens-ragtruth-w4-t0.7,0.8712,0.9951,0.9291,0.5455,1.0,0.7059,0.7,1.0,0.8235,0.7638,0.9898,0.8622
lookbacklens-toolace-w4-t0.3,0.8755,1.0,0.9336,0.5538,1.0,0.7129,0.7071,1.0,0.8284,0.7717,1.0,0.8711
lookbacklens-toolace-w4-t0.5,0.8831,1.0,0.9379,0.5714,1.0,0.7273,0.7216,1.0,0.8383,0.784,1.0,0.8789
lookbacklens-toolace-w4-t0.7,0.9054,0.9853,0.9437,0.625,0.9722,0.7609,0.7692,1.0,0.8696,0.8205,0.9796,0.893
lookbacklens-ragtruth-w8-t0.3,0.8681,1.0,0.9294,0.5373,1.0,0.699,0.6931,1.0,0.8187,0.7597,1.0,0.8634
lookbacklens-ragtruth-w8-t0.5,0.8681,1.0,0.9294,0.5373,1.0,0.699,0.6931,1.0,0.8187,0.7597,1.0,0.8634
lookbacklens-ragtruth-w8-t0.7,0.8788,0.9951,0.9333,0.5625,1.0,0.72,0.7113,0.9857,0.8263,0.7778,1.0,0.875
lookbacklens-toolace-w8-t0.3,0.8793,1.0,0.9358,0.5625,1.0,0.72,0.7143,1.0,0.8333,0.7778,1.0,0.875
lookbacklens-toolace-w8-t0.5,0.8938,0.9902,0.9395,0.5932,0.9722,0.7368,0.7447,1.0,0.8537,0.8017,0.9898,0.8858
lookbacklens-toolace-w8-t0.7,0.9087,0.9755,0.9409,0.6296,0.9444,0.7556,0.7778,1.0,0.875,0.8261,0.9694,0.892
lexical,0.8718,1.0,0.9315,0.5455,1.0,0.7059,0.7,1.0,0.8235,0.7656,1.0,0.8673
